ConfigID;switch_3d1a5e98-a9e6-80f8-ce99-4d377b68ec03;switch_5236d4e1-d32c-e111-3ec3-e2f2d78a7296;switch_269f5f7f-2985-4131-a9db-a1da143c8c67;switch_41d6d807-0cd2-157d-acb2-1540ce172528;switch_72dc55bf-6560-11c1-eb38-0615aaa100bc;switch_83673406-86e0-240c-b450-27e83f1fe893;switch_166ddb80-a665-4488-0766-e0ea310a1421;switch_5373c8ad-ae7a-7f9a-24b2-6f2a3c497970;switch_2a09c1f1-34a2-cddc-c304-97669fa4f9a5;switch_8eaf8123-cfcf-fef7-90a4-804a06fb87ab;switch_ac576162-1e41-c815-471c-b9e29aae3600;switch_fcc3086e-2651-e998-17bf-7b4f7edbae07;switch_bf9aa6c1-b7d1-7799-68aa-a3834387a75c;switch_d02f918a-9dbe-4e36-c1eb-6d1943dc7939;switch_5aaa762f-4540-459c-15a8-351d44306f2e;switch_b4f3a68a-5aa2-24a4-2f68-04eb860c3a83;switch_2a057a0e-0f9d-8c83-0fa9-bd4ebe7f4c9c;switch_bcb125e9-5343-d5bf-5a27-3cc96a84d811;switch_dad0e65d-ab55-0982-5532-9a6a1cd77644;switch_6170f659-123c-1df4-9372-7d4ce87f45b5;switch_26699ad0-b3d5-fc95-2c10-2ec631bb8c26;switch_a26be101-189d-63e7-e845-702878093da6;switch_6c870a3d-b1b0-850d-128d-ec0f72a4ff21;switch_e272b71f-579a-fbd7-cb7c-d9db47366714;switch_2833a778-53f5-6656-9b48-558d074b3899;switch_7dac30e0-6aa7-0040-0351-f28fda223a12;switch_a8d5d0f0-c608-22e1-3eeb-f0ac09948899;switch_91148f4d-b216-f29e-4a2c-20c258b74f22;switch_f00b0822-a031-c734-22a2-c17ec33b2790
547e4bb8-9306-5355-89e5-a58215e9ed82;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
c004d72b-8523-54db-aa4c-ab5f045b59d4;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
bb0f0979-a7b6-5089-9cfd-1130d74d3f1d;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
bf1f1987-a0f2-5633-934c-d55297186192;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
9cec0a2c-c3c7-5556-87bd-3ad7ca158210;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
8285c361-4ef1-5af3-9246-50f13e24f027;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
d86e4bfe-ea19-5229-8f4b-804cb903e073;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
13337578-dd14-5761-84d4-598ef9fcc16f;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
c36e6003-331d-5aaa-8fbb-cd580cc6a55a;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
7cc66fdc-39ed-563a-a1a4-f48d3cfb73ef;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ba8f86da-cac6-5197-a9d9-0b42e7bf96cd;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1
68a23b69-3cdb-5630-9ec2-f9b0216cfe33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1
5647ecec-1b79-5f8b-85bd-9f4df365530f;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
fc18b8e1-b09b-5696-9691-399b76d89d42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1
b8382f17-bad4-54e7-b4d8-e4d4c1a0e698;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1
5aed4b12-6e7e-5b91-8165-918e37faa246;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
4f303da6-eead-5135-b3f2-75178b6a4e10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1
1ab108b6-f2b8-554a-8883-96272d3a4a53;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1
82fc2cf4-b9d3-5f59-aef4-17d51da81a69;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
baf89196-2559-5558-96ec-d26cf8fa9ba7;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
6eb48576-6905-561d-afaf-c0224d673201;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1
